ChosenID,Basin,WellName,County,LeaseName,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,HoleDirection,SurfaceLatitude,SurfaceLongitude,cluster
4238937715,DB,ALYSHEBA 18 1H,REEVES,ALYSHEBA 18,,PHANTOM,OLD DUC,WCB,10153.0,2200-01-01,H,31.349084213,-103.65443652,1944
4238937725,DB,BALMORHEA STATE 33-50 UNIT 3H,REEVES,BALMORHEA STATE 33-50 UNIT,08-053040-O,WOLFBONE,01PDP,WCA,8408.0,2020-03-01,H,31.360977515,-103.525257996,1945
4238937740,DB,CALAMITY JANE WEST 2805H,REEVES,CALAMITY JANE WEST,08-039285-O,PHANTOM,01PDP,WCA,9938.0,2019-07-01,H,31.357375752,-103.346599033,1946
4238937768,DB,SANDSTORM UNIT 4272H,REEVES,SANDSTORM UNIT,08-053231-O,HOEFS T-K,01PDP,WCB,8777.0,2019-09-01,H,31.096438891,-103.465398796,1947
4238937817,DB,SUNNY D STATE UNIT U 05H,REEVES,SUNNY D STATE UNIT,08-052106-O,PHANTOM,01PDP,WCA,8295.0,2019-08-01,H,31.080413876,-103.532016636,1948
4238937839,DB,WHITE EAST 30-31 24NH,REEVES,WHITE EAST 30-31,,WOLFBONE,05PA,,8345.0,2200-01-01,H,31.104564399,-103.358798691,1949
4238937861,DB,VIPER 14N11 11H,REEVES,VIPER 14N11,08-052558-O,WOLFBONE,01PDP,WCA,10854.0,2019-08-01,H,31.214593874,-103.25094861,1950
4238937884,DB,NIMITZ UNIT A 186-188 10H,REEVES,NIMITZ UNIT A 186-188,,WOLFBONE,05PA,,11520.0,2200-01-01,H,31.195629917,-103.569184808,1951
4238937905,DB,DOC HOLLIDAY STATE 34-43 UNIT 43H,REEVES,DOC HOLLIDAY STATE 34-43 UNIT,,PHANTOM,05PA,,11108.0,2200-01-01,H,31.358616627,-103.506073873,1952
4238937994,DB,STATE BARB 10-5 A 1WA,REEVES,STATE BARB 10-5 A,08-052705-O,HOEFS T-K,01PDP,WCA,9935.0,2019-08-01,H,31.329454851,-103.220382298,1953
4238938031,DB,PREDATOR EAST U 33H,REEVES,PREDATOR EAST,08-051960-O,PHANTOM,01PDP,WCA,8400.0,2019-07-01,H,31.283105589,-103.626972269,1954
4238938033,DB,CHOCTAW 1-21 B 2WA,REEVES,CHOCTAW 1-21 B,08-053694-O,HOEFS T-K,01PDP,WCXY,8255.0,2019-08-01,H,31.389428234,-103.274519736,1955
4238938040,DB,CWI STATE LONG D T 36H,REEVES,CWI STATE LONG D,08-052406-O,PHANTOM,01PDP,3RD BS,7809.0,2019-06-01,H,31.327236096,-103.457241674,1956
4238938042,DB,PREDATOR WEST A U 25H,REEVES,PREDATOR WEST A,08-052753-O,PHANTOM,01PDP,WCA,8367.0,2019-07-01,H,31.283102788,-103.627061072,1957
4238931100,DB,BALMORHEA RANCH 1-44,REEVES,BALMORHEA RANCH,08-051500-O,PHANTOM,02PDNP,,,1982-03-01,V,31.326783381,-103.515544405,1958
4238938074,DB,TYCOON G UNIT 1296H,REEVES,TYCOON G UNIT,,WOLFBONE,OLD DUC,3RD BS,9235.0,2200-01-01,H,31.394164321,-103.351003433,1959
4238938080,DB,APOLLO 2-11-3N 32H,REEVES,APOLLO 2-11-3N,08-053029-O,WOLFBONE,01PDP,WCB,11479.0,2019-08-01,H,31.27046363,-103.400784794,1960
4238938094,DB,J A HORD 8-9 UNIT 3H,REEVES,J A HORD 8-9 UNIT,,PHANTOM,05PA,,10353.0,2200-01-01,H,31.359773906,-103.295789557,1961
4238938130,DB,CHIPETA STATE 301H,REEVES,CHIPETA STATE,08-052760-O,HOEFS T-K,01PDP,WCA,10170.0,2019-07-01,H,31.023682944,-103.380647347,1962
4238938187,DB,CURLY BILL STATE 25-26 UNIT B 8H,REEVES,CURLY BILL STATE 25-26 UNIT B,08-053327-O,PHANTOM,01PDP,WCA,7614.0,2019-11-01,H,31.375241433,-103.464861567,1963
4238938189,DB,CURLY BILL STATE 25-26 UNIT B 10H,REEVES,CURLY BILL STATE 25-26 UNIT B,08-053327-O,PHANTOM,01PDP,WCA,7600.0,2019-11-01,H,31.375210834,-103.464672661,1964
4238938190,DB,CURLY BILL STATE 25-26 UNIT 45H,REEVES,CURLY BILL STATE 25-26 UNIT,,PHANTOM,05PA,,7642.0,2200-01-01,H,31.375194135,-103.464578258,1965
4238938205,DB,BEAR CLAW STATE 29-28 UNIT 13H,REEVES,BEAR CLAW STATE 29-28 UNIT,08-053044-O,WOLFBONE,01PDP,WCA,10814.0,2019-09-01,H,31.231875793,-103.423088294,1966
4238938219,DB,APOLLO 2-11-9N 72H,REEVES,APOLLO 2-11-9N,08-053030-O,WOLFBONE,01PDP,3RD BS,10110.0,2019-08-01,H,31.274355237,-103.400643086,1967
4238938249,DB,SAM PREWITT 255-256 D-2 4H,REEVES,SAM PREWITT 255-256 D-2,,PHANTOM,05PA,,9551.0,2200-01-01,H,31.253788277,-103.524313031,1968
4238938328,DB,HARTLEY 7 1H,REEVES,HARTLEY 7,,PHANTOM,05PA,,10653.0,2200-01-01,H,31.26333201,-103.727094018,1969
4238938429,DB,DARLINGTON UNIT 11A 81H,REEVES,DARLINGTON UNIT 11A,08-053555-O,SANDBAR,01PDP,3RD BS,8435.0,2019-11-01,H,31.289536149,-103.247388603,1970
4238938435,DB,HIGHLANDER C U 19H,REEVES,HIGHLANDER C,08-054213-O,PHANTOM,01PDP,WCA,8779.0,2020-03-01,H,31.286974966,-103.631238845,1971
4238938576,DB,POUTINE 57-330W 2H,REEVES,POUTINE 57-330W,08-053719-O,HOEFS T-K,01PDP,WCA,10006.0,2019-12-01,H,31.018776251,-103.480067686,1972
4238938607,DB,PECOS BILL STATE 204-203 UNIT A 6H,REEVES,PECOS BILL STATE 204-203 UNIT A,08-054116-O,PHANTOM,01PDP,WCA,10903.0,2020-03-01,H,31.281545857,-103.533769075,1973
4238938869,DB,THORNY ROSE 19-18 B 5H,REEVES,THORNY ROSE 19-18 B,,PHANTOM,05PA,WCA,11856.0,2200-01-01,H,31.375649145,-103.55438135,1974
4238938891,DB,STATE CLEVELAND 16-5 A 4WA,REEVES,STATE CLEVELAND 16-5 A,,HOEFS T-K,EXPIRED PERM,WCA,16827.0,2200-01-01,H,31.34748478,-103.207310774,1975
4238938922,DB,MAJESTIC STATE 51-13-12 B 14H,REEVES,MAJESTIC STATE 51-13-12 B,,WOLFBONE,05PA,,10995.0,2200-01-01,H,31.257558469,-103.37725374,1976
4238935911,DB,TRIGGER 39-40 UNIT C 33H,REEVES,TRIGGER 39-40 UNIT C,08-050618-O,WOLFBONE,01PDP,3RD BS,8460.0,2018-03-01,H,31.33867718,-103.542515939,1977
4238935996,DB,BILLY THE KID 31-24 UNIT A 8HL,REEVES,BILLY THE KID 31-24 UNIT A,08-049555-O,WOLFBONE,02PDNP,WCA,10934.0,2018-06-01,H,31.35620307,-103.507673724,1978
4238936004,DB,BILLY THE KID 31-24 UNIT A 10HL,REEVES,BILLY THE KID 31-24 UNIT A,,WOLFBONE,05PA,,10958.0,2200-01-01,H,31.355886093,-103.505821054,1979
4238936074,DB,MANHATTAN 183W 23H,REEVES,MANHATTAN 183W,08-048830-O,WOLFBONE,01PDP,WCB,7646.0,2018-01-01,H,31.082129021,-103.377460446,1980
4238936101,DB,PEDERNALES 293 1H,REEVES,PEDERNALES 293,08-049849-O,WOLFBONE,01PDP,WCA,4715.0,2018-02-01,H,31.047565547,-103.5438041,1981
4238936112,DB,AGATE 179-142-5S 23H,REEVES,AGATE 179-142-5S,,WOLFBONE,05PA,,8343.0,2200-01-01,H,31.062357754,-103.356593314,1982
4238936121,DB,STATE GRAEF 1-14 1HA,REEVES,STATE GRAEF 1-14,,HOEFS T-K,05PA,,4873.0,2200-01-01,H,30.950752351,-103.435779456,1983
4238936124,DB,GRAEF 1-12 1HA,REEVES,GRAEF 1-12,08-049639-O,HOEFS T-K,01PDP,WCA,5053.0,2017-12-01,H,30.937236608,-103.465964437,1984
4238936146,DB,BOCKSCAR 309 14H,REEVES,BOCKSCAR 309,08-049631-O,WOLFBONE,01PDP,WCA,5150.0,2017-12-01,H,31.080342101,-103.489180179,1985
4238933071,DB,FINLEY C9-26 1H,REEVES,FINLEY C9-26,,TWO GEORGES,03PA,,5421.0,2200-01-01,H,31.357469841,-103.604633731,1986
4238933112,DB,CWEI-CHK STATE 1-52-8 1H,REEVES,CWEI-CHK STATE 1-52-8,08-051200-O,HOEFS T-K,01PDP,WCC,4554.0,2012-12-01,H,31.183843365,-103.476830323,1987
4238933233,DB,WORSHAM 6 -14 2H,REEVES,WORSHAM 6 -14,,PHANTOM,05PA,,5465.0,2200-01-01,H,31.399535747,-103.335282631,1760
4238936270,DB,REV GF STATE T7 50 441H,REEVES,REV GF STATE T7 50,08-050122-O,PHANTOM,01PDP,WCA,11029.0,2018-10-01,H,31.201488283,-103.351627465,796
4238936279,DB,REV GF STATE T7 50 443H,REEVES,REV GF STATE T7 50,08-050122-O,PHANTOM,01PDP,WCA,11025.0,2018-10-01,H,31.201489184,-103.351467561,796
4238936290,DB,REV GF STATE T7-50-44 4H,REEVES,REV GF STATE T7-50-44,,PHANTOM,05PA,WCA,10997.0,2200-01-01,H,31.201535334,-103.343051652,450
4238936388,DB,HORD J A 8-9 UNIT 1H,REEVES,HORD J A 8-9 UNIT,,PHANTOM,OLD DUC,3RD BS,10277.0,2200-01-01,H,31.361089848,-103.301541715,1988
4238936417,DB,CAROLINA REAPER STATE UNIT A-2 2HL,REEVES,CAROLINA REAPER STATE UNIT A-2,08-051183-O,HOEFS T-K,01PDP,WCA,10900.0,2018-06-01,H,31.155587419,-103.490395622,1989
4238933508,DB,BIG CHIEF 801H,REEVES,BIG CHIEF,08-044043-O,HOEFS T-K,01PDP,WCA,8002.0,2013-03-01,H,31.023826115,-103.451519738,1990
4238933661,DB,HOEFS RANCH 1H,REEVES,HOEFS RANCH,08-045914-O,HOEFS T-K,01PDP,WCA,4673.0,2014-06-01,H,31.021078087,-103.489029917,1991
4238936924,DB,MARLIN 11S 24H,REEVES,MARLIN 11S,08-052364-O,WOLFBONE,01PDP,WCB,10834.0,2019-06-01,H,31.245425223,-103.140949805,1992
4238936927,DB,MARLIN 11S 25H,REEVES,MARLIN 11S,08-052364-O,WOLFBONE,01PDP,WCB,10827.0,2019-06-01,H,31.245424626,-103.140693996,1993
4238936936,DB,GHOST STATE 45-46 UNIT B 11H,REEVES,GHOST STATE 45-46 UNIT B,08-051566-O,HOEFS T-K,01PDP,WCA,8005.0,2019-06-01,H,31.28122899,-103.687300981,1994
4238936939,DB,SUNDANCE KID STATE 50-49-7 UNIT B 13H,REEVES,SUNDANCE KID STATE 50-49-7 UNIT B,08-052350-O,WOLFBONE,03PA,WCA,9886.0,2200-01-01,H,31.337543895,-103.520144914,1995
4238936944,DB,ADOBE D U 26H,REEVES,ADOBE D,08-051279-O,PHANTOM,01PDP,WCA,10095.0,2018-10-01,H,31.183211104,-103.555041641,1996
