ChosenID,Basin,WellName,County,LeaseName,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,Comp_Dt,HoleDirection,SurfaceLatitude,SurfaceLongitude,BH_Lat,BH_Long,mid_lat,mid_long,cluster
4238934016,DB,BETTYLOU 2206H,REEVES,BETTYLOU,08-042972-O,WOLFBONE,01PDP,WCB,4784,7/1/2014,7/1/2014,H,31.14078754,-103.422664,31.12767584,-103.4226214,31.13423169,-103.4226427,1789
4238934103,DB,BALMORHEA STATE 1,REEVES,BALMORHEA STATE,08-046324-O,PHANTOM,01PDP,WCB,4609,7/1/2014,7/6/2014,H,31.32914559,-103.5194021,31.31673885,-103.5221951,31.32294222,-103.5207986,1790
4238910251,DB,BECKEN 11 1,REEVES,BECKEN 11,08-195544-G,WAHA WEST,01PDP,DEVONIAN,3400,6/1/1966,4/8/2003,H,31.28552256,-103.1375819,31.28667712,-103.148385,31.28609984,-103.1429835,1791
4238935522,DB,ENERGY 2-54 1H,REEVES,ENERGY 2-54,,HOEFS T-K,EXPIRED PERM,WCA,5391,1/1/2200,,H,31.26209443,-103.6405491,31.24731869,-103.6405057,31.25470656,-103.6405274,1792
4238935585,DB,TAPSCOTT 147 1H,REEVES,TAPSCOTT 147,08-050341-O,HOEFS T-K,01PDP,WCA,7552,9/1/2017,9/9/2017,H,31.22450682,-103.5856936,31.2042692,-103.5907855,31.21438801,-103.5882395,1793
4238935635,DB,MONROE 28-39 UNIT A 7HL,REEVES,MONROE 28-39 UNIT A,08-048605-O,WOLFBONE,01PDP,WCA,9830,5/1/2018,5/17/2018,H,31.31443228,-103.4817621,31.34124217,-103.4786091,31.32783723,-103.4801856,78
4238935646,DB,MANHATTAN 183-178-3S 25H,REEVES,MANHATTAN 183-178-3S,,WOLFBONE,03PA,,13,1/1/2200,4/9/2017,H,31.08239577,-103.3702881,31.08242327,-103.3703152,31.08240952,-103.3703016,1794
4238935680,DB,BILLY THE KID 31-24 UNIT A 7H,REEVES,BILLY THE KID 31-24 UNIT A,08-049555-O,WOLFBONE,01PDP,WCA,10848,9/1/2017,10/20/2017,H,31.35710202,-103.5111579,31.38619741,-103.5039737,31.37164971,-103.5075658,706
4238935719,DB,BRASS MONKEY STATE UNIT 852H,REEVES,BRASS MONKEY STATE UNIT,08-292804-G,PHANTOM,01PDP,3RD BS,10324,12/1/2017,12/20/2017,H,31.3892167,-103.3871379,31.41688445,-103.380168,31.40305058,-103.383653,739
4238935798,DB,REEVES TXL FEE T7-50-15 3H,REEVES,REEVES TXL FEE T7-50-15,08-044897-O,WOLFBONE,01PDP,WCA,6041,2/1/2018,2/28/2018,H,31.25655331,-103.3184045,31.27291041,-103.3153816,31.26473186,-103.316893,1795
4238935818,DB,CARPENTER STATE 3H,REEVES,CARPENTER STATE,08-049220-O,PHANTOM,01PDP,WCA,4843,6/1/2017,6/26/2017,H,31.16564171,-103.5486417,31.15265275,-103.5518445,31.15914722,-103.5502431,1796
4238935906,DB,TRIGGER 39-40 UNIT C 9HL,REEVES,TRIGGER 39-40 UNIT C,08-050618-O,WOLFBONE,01PDP,WCA,8474,3/1/2018,3/18/2018,H,31.33870918,-103.5427059,31.36168609,-103.5387168,31.35019763,-103.5407114,1460
4238935924,DB,TREES RANCH 14 4101H,REEVES,TREES RANCH 14,08-049858-O,PHANTOM,01PDP,3RD BS,5624,10/1/2017,10/25/2017,H,31.34211977,-103.0628682,31.35722483,-103.0592679,31.3496723,-103.061068,877
4238935935,DB,BLACK COBRA 1-2 UNIT A 1H,REEVES,BLACK COBRA 1-2 UNIT A,08-050839-O,HOEFS T-K,01PDP,WCA,10220,4/1/2018,3/24/2018,H,31.24853154,-103.6086454,31.24792076,-103.6414064,31.24822615,-103.6250259,1461
