ChosenID,heel_lat,heel_lon,toe_lat,toe_lon,cluster
4231745377,32.39326772,-101.734670664,32.355261959,-101.722476508,1824
4231745367,32.396824475,-101.730593033,32.35552473,-101.717085891,1824
4231745374,32.394156791,-101.734454902,32.354546093,-101.721448931,1824
4231745365,32.396657751,-101.729315819,32.356735512,-101.716515288,1824
4231745370,32.395635483,-101.73136143,32.355190613,-101.71856096,1824
4231745366,32.396796397,-101.729492882,32.35572471,-101.716178744,1824
4231745369,32.396027588,-101.731885834,32.354820976,-101.720704343,1824
4231745376,32.394334469,-101.734731476,32.354997708,-101.722449223,1824
4231745375,32.394021435,-101.734388143,32.354561906,-101.721373053,1824
4231745371,32.394060951,-101.732688512,32.354577073,-101.72196885,1824
4222742188,32.184123311,-101.667084323,32.157867277,-101.658785826,562
4222742189,32.185169995,-101.663229764,32.158313033,-101.656139521,871
4222742186,32.182834816,-101.675728932,32.155836606,-101.667775075,983
4231745380,32.492067217,-102.160671759,32.52251637,-102.170160013,1825
4231745378,32.49298525,-102.15819234,32.52327756,-102.16568112,1825
4231745382,32.133587768,-101.881612121,32.094674891,-101.868244388,1826
4231745383,32.136364971,-101.878663892,32.095536931,-101.864675718,1827
4231745381,32.492450295,-102.161225583,32.522749414,-102.168808332,1825
4222742187,32.184586264,-101.671926476,32.156807709,-101.663468171,563
4222742190,32.427412355,-101.352560403,32.454751858,-101.350446188,1100
4231745379,32.492711006,-102.158831334,32.523071274,-102.167652593,1825
4232946386,31.813049862,-101.779911272,31.839523589,-101.788415819,1828
4232946391,31.902748091,-101.905676507,31.862496894,-101.89223697,1829
4232946389,31.902714692,-101.908304386,31.862125698,-101.894692339,1829
4232946387,31.812535564,-101.777499882,31.840432482,-101.786391876,1830
4232946388,31.813614387,-101.775904673,31.840882806,-101.784542689,1830
4232946390,31.901957437,-101.908030465,31.862169131,-101.893735462,1829
4232946392,31.902055206,-101.905398708,31.86347459,-101.892799391,1829
4232946385,31.812213589,-101.781694982,31.839660865,-101.790288811,1828
4232946393,31.903124556,-101.903102992,31.86288023,-101.890502184,1829
4232946400,31.903082848,-101.902596881,31.863132853,-101.889428697,1829
4232946394,31.903177139,-101.903165881,31.863024534,-101.889922337,1829
4231745390,32.309557969,-101.849621377,32.28397022,-101.841105366,1831
4231745389,32.311363912,-101.844603665,32.285392995,-101.835286702,1189
4232946395,31.902721456,-101.904256382,31.862641225,-101.891590943,1829
4222742194,32.520495858,-101.651695181,32.546631724,-101.660076553,1832
4222742195,32.521605957,-101.650939177,32.547777655,-101.659386564,1832
4231745414,32.385418663,-101.859992192,32.425745108,-101.872808139,1833
4231745425,32.385248228,-101.863858106,32.424942147,-101.876572857,1834
4231745411,32.386206889,-101.857433726,32.425534141,-101.870312334,1835
4231745422,32.384393927,-101.863600859,32.424944429,-101.876538087,1834
4231745423,32.384698531,-101.864886451,32.424265993,-101.877660756,1834
4222742193,32.520195226,-101.652749183,32.546961426,-101.661330032,1832
4232946398,31.903188601,-101.902458885,31.865258763,-101.890013141,1829
4231745424,32.384439595,-101.863038083,32.425000928,-101.87627469,1834
4231745416,32.385230187,-101.860514924,32.425084324,-101.873692306,1833
4231745415,32.385517948,-101.861319591,32.425501482,-101.87392759,1833
4231745412,32.385792294,-101.859876941,32.425783564,-101.872602524,1833
4231745418,32.383873678,-101.863045919,32.424973382,-101.876389051,1834
4231745417,32.385208757,-101.861278789,32.425490559,-101.873977127,1833
4232946397,31.902890717,-101.907002054,31.86214764,-101.894502771,1829
4238341438,31.320142153,-101.762164209,31.34909161,-101.761807302,1836
4232946399,31.901960722,-101.906737755,31.862791242,-101.89422175,1829
